DateTime,Energy Produced (Wh)
5/25/2019 0:00,23092
5/26/2019 0:00,23513
5/27/2019 0:00,30386
5/28/2019 0:00,24653
5/29/2019 0:00,18040
5/30/2019 0:00,11947
5/31/2019 0:00,25715
6/1/2019 0:00,29523
6/2/2019 0:00,25498
6/3/2019 0:00,33258
6/4/2019 0:00,24492
6/5/2019 0:00,18340
6/6/2019 0:00,25795
6/7/2019 0:00,22052
6/8/2019 0:00,16174
6/9/2019 0:00,15896
6/10/2019 0:00,13384
6/11/2019 0:00,33148
6/12/2019 0:00,25089
6/13/2019 0:00,11662
6/14/2019 0:00,34337
6/15/2019 0:00,15352
6/16/2019 0:00,17124
6/17/2019 0:00,9586
6/18/2019 0:00,12876
6/19/2019 0:00,21157
6/20/2019 0:00,10087
6/21/2019 0:00,31431
6/22/2019 0:00,27466
6/23/2019 0:00,30167
6/24/2019 0:00,18850
6/25/2019 0:00,31480
6/26/2019 0:00,30862
6/27/2019 0:00,23038
6/28/2019 0:00,29399
6/29/2019 0:00,26916
6/30/2019 0:00,27842
7/1/2019 0:00,30313
7/2/2019 0:00,28324
7/3/2019 0:00,16145
7/4/2019 0:00,24112
7/5/2019 0:00,23849
7/6/2019 0:00,26874
7/7/2019 0:00,21538
7/8/2019 0:00,29198
7/9/2019 0:00,30523
7/10/2019 0:00,26431
7/11/2019 0:00,24051
7/12/2019 0:00,26889
7/13/2019 0:00,31364
7/14/2019 0:00,25804
7/15/2019 0:00,27564
7/16/2019 0:00,17410
7/17/2019 0:00,15384
7/18/2019 0:00,24969
7/19/2019 0:00,22224
7/20/2019 0:00,30142
7/21/2019 0:00,27349
7/22/2019 0:00,10373
7/23/2019 0:00,29560
7/24/2019 0:00,25606
7/25/2019 0:00,30151
7/26/2019 0:00,27026
7/27/2019 0:00,29850
7/28/2019 0:00,28688
7/29/2019 0:00,26167
7/30/2019 0:00,17549
7/31/2019 0:00,28284
8/1/2019 0:00,24708
8/2/2019 0:00,27878
8/3/2019 0:00,30726
8/4/2019 0:00,28735
8/5/2019 0:00,24334
8/6/2019 0:00,23939
8/7/2019 0:00,23706
8/8/2019 0:00,24708
8/9/2019 0:00,31775
8/10/2019 0:00,26351
8/11/2019 0:00,29541
8/12/2019 0:00,21941
8/13/2019 0:00,11015
8/14/2019 0:00,19439
8/15/2019 0:00,26386
8/16/2019 0:00,24479
8/17/2019 0:00,17765
8/18/2019 0:00,25575
8/19/2019 0:00,22103
8/20/2019 0:00,23102
8/21/2019 0:00,14332
8/22/2019 0:00,7636
8/23/2019 0:00,24050
8/24/2019 0:00,27142
8/25/2019 0:00,28568
8/26/2019 0:00,4590
8/27/2019 0:00,5574
8/28/2019 0:00,31033
8/29/2019 0:00,31329
8/30/2019 0:00,28369
8/31/2019 0:00,15863
9/1/2019 0:00,18570
9/2/2019 0:00,20381
9/3/2019 0:00,29016
9/4/2019 0:00,29715
9/5/2019 0:00,31511
9/6/2019 0:00,25326
9/7/2019 0:00,19158
9/8/2019 0:00,14981
9/9/2019 0:00,28345
9/10/2019 0:00,26770
9/11/2019 0:00,23417
9/12/2019 0:00,25218
9/13/2019 0:00,24209
9/14/2019 0:00,25690
9/15/2019 0:00,23968
9/16/2019 0:00,23743
9/17/2019 0:00,25477
9/18/2019 0:00,28688
9/19/2019 0:00,28605
9/20/2019 0:00,21632
9/21/2019 0:00,14487
9/22/2019 0:00,27461
